energy_type,wealth_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
Household Elec,Capital Median,0.4291460035546562,1.4946958588574675e-08,0.5461428435565491,8.049780231489851e-14,160
Total Elec,Income Median,-0.1940923040803113,0.013921648732672648,-0.23130072891757522,0.0032523511710300587,160
Total Elec,Income Avg,-0.18191480451354863,0.02132034706921954,-0.25732798346154767,0.0010200133722560309,160
Total Elec,Capital Median,-0.1267814043991807,0.11014286224491253,-0.08616114004846673,0.27866087265605954,160
Total Elec,Capital Avg,-0.11273771154410334,0.15578830420187434,-0.15789928588320468,0.04613531654734074,160
Household Elec,Income Median,0.07216981224538592,0.3644546213121517,0.15903728842427833,0.04456785305899319,160
Household Elec,Income Avg,-0.053186776952250436,0.5041569142522729,0.02034651631179585,0.7984343709376671,160
Household Elec,Capital Avg,0.00039485594079773784,0.9960461667363733,0.24002490392170997,0.0022347845819661372,160
